Step: 292 | Reward: -20.25 | Advantage: -0.0075782 | Loss: 1.0426e-07 | Prob: 0.99885 | Log Prob: -0.001149 | Grad Norm: 3895.9 | Time: 11.396 | Total Time: 10.803
Step: 296 | Reward: -20.75 | Advantage: -0.0020301 | Loss: 7.4287e-08 | Prob: 0.99876 | Log Prob: -0.0012378 | Grad Norm: 10325 | Time: 9.8539 | Total Time: 10.967
Step: 300 | Reward: -21 | Advantage: -0.016417 | Loss: -3.8744e-08 | Prob: 0.99861 | Log Prob: -0.0013946 | Grad Norm: 5518 | Time: 8.8311 | Total Time: 11.114
Step: 304 | Reward: -20.25 | Advantage: -0.019754 | Loss: -5.7835e-08 | Prob: 0.99852 | Log Prob: -0.0014783 | Grad Norm: 10255 | Time: 8.3334 | Total Time: 11.253
Step: 308 | Reward: -20.75 | Advantage: -0.01227 | Loss: -3.2206e-07 | Prob: 0.99842 | Log Prob: -0.0015824 | Grad Norm: 5311.1 | Time: 9.1138 | Total Time: 11.405
Step: 312 | Reward: -20.75 | Advantage: -0.028755 | Loss: -5.9347e-08 | Prob: 0.9982 | Log Prob: -0.0018017 | Grad Norm: 8126 | Time: 10.78 | Total Time: 11.584
Step: 316 | Reward: -20.75 | Advantage: -0.017239 | Loss: 1.5065e-07 | Prob: 0.99777 | Log Prob: -0.0022309 | Grad Norm: 5241.7 | Time: 11.536 | Total Time: 11.777
Step: 320 | Reward: -20.25 | Advantage: -0.0192 | Loss: -3.0549e-08 | Prob: 0.99754 | Log Prob: -0.0024614 | Grad Norm: 6010 | Time: 10.761 | Total Time: 11.956
Step: 324 | Reward: -21 | Advantage: -0.031853 | Loss: -3.5345e-07 | Prob: 0.99672 | Log Prob: -0.003283 | Grad Norm: 6030.3 | Time: 10.133 | Total Time: 12.125
Step: 328 | Reward: -19.75 | Advantage: -0.016233 | Loss: -2.7836e-08 | Prob: 0.99596 | Log Prob: -0.0040499 | Grad Norm: 9954.6 | Time: 7.7161 | Total Time: 12.253
