Using device: cuda
Episode: 3248, Reward: -20.3125, Loss: -0.03583897, Time: 23389.89ms
Episode: 3264, Reward: -19.5625, Loss: -0.01908391, Time: 22405.92ms
Episode: 3280, Reward: -19.3125, Loss: -0.02833594, Time: 22399.11ms
Episode: 3296, Reward: -19.5625, Loss: -0.03052134, Time: 22791.58ms
Episode: 3312, Reward: -19.875, Loss: -0.02460455, Time: 23189.52ms
Episode: 3328, Reward: -19.5, Loss: -0.02776524, Time: 22388.80ms
Episode: 3344, Reward: -19.375, Loss: -0.05509240, Time: 23397.90ms
Episode: 3360, Reward: -19.625, Loss: -0.06463121, Time: 22993.50ms
Episode: 3376, Reward: -19.4375, Loss: -0.04537017, Time: 22802.13ms
Episode: 3392, Reward: -19.9375, Loss: -0.04002104, Time: 23393.11ms
Episode: 3408, Reward: -19.875, Loss: -0.07120107, Time: 22588.38ms
Episode: 3424, Reward: -19.4375, Loss: -0.06824431, Time: 23181.23ms
Episode: 3440, Reward: -20.375, Loss: -0.06487551, Time: 23015.30ms
Episode: 3456, Reward: -20.375, Loss: -0.08299294, Time: 23377.83ms
Episode: 3472, Reward: -19.625, Loss: -0.07473025, Time: 22793.71ms
Episode: 3488, Reward: -18.875, Loss: -0.07479025, Time: 21167.94ms
Episode: 3504, Reward: -19.5, Loss: -0.00851780, Time: 23036.18ms
Episode: 3520, Reward: -19.9375, Loss: -0.01474366, Time: 22364.56ms
Episode: 3536, Reward: -20.0, Loss: -0.00453262, Time: 23197.62ms
Episode: 3552, Reward: -19.25, Loss: -0.04495688, Time: 20588.16ms
Episode: 3568, Reward: -18.4375, Loss: -0.06470051, Time: 21571.98ms
Episode: 3584, Reward: -20.3125, Loss: -0.06597465, Time: 23010.28ms
Episode: 3600, Reward: -19.25, Loss: -0.09203528, Time: 21586.93ms
Episode: 3616, Reward: -18.5, Loss: -0.05631756, Time: 20587.03ms
Episode: 3632, Reward: -19.0, Loss: -0.08182424, Time: 20988.07ms
Episode: 3648, Reward: -19.25, Loss: -0.03108469, Time: 20810.78ms
Episode: 3664, Reward: -19.25, Loss: -0.12503660, Time: 20603.12ms
Episode: 3680, Reward: -18.5625, Loss: -0.02062222, Time: 20372.22ms
Episode: 3696, Reward: -19.3125, Loss: -0.02071695, Time: 20590.19ms
Episode: 3712, Reward: -19.25, Loss: -0.03660529, Time: 21215.83ms
Episode: 3728, Reward: -20.5625, Loss: -0.15369001, Time: 22987.29ms
Episode: 3744, Reward: -19.375, Loss: -0.04809202, Time: 20985.75ms
Episode: 3760, Reward: -19.375, Loss: -0.06800940, Time: 20806.62ms
Episode: 3776, Reward: -19.25, Loss: -0.12663495, Time: 21173.89ms
Episode: 3792, Reward: -19.3125, Loss: -0.08748313, Time: 20998.56ms
Episode: 3808, Reward: -19.375, Loss: -0.08115455, Time: 20385.10ms
Episode: 3824, Reward: -19.5625, Loss: -0.02136877, Time: 20602.07ms
Episode: 3840, Reward: -19.75, Loss: -0.09902872, Time: 21381.44ms
Episode: 3856, Reward: -19.75, Loss: -0.08400382, Time: 20785.72ms
