Episode: 412, Loss: 0.002955399453639984, Reward: -20.5, Advantage: 3.6398311920038395e-08, Max Prob: 0.43893343210220337, Max Log Prob: -0.8234075307846069
Episode: 416, Loss: 0.010467388667166233, Reward: -20.25, Advantage: -7.925684286647083e-08, Max Prob: 0.42309802770614624, Max Log Prob: -0.8601514101028442
Episode: 420, Loss: 0.0011477009393274784, Reward: -20.5, Advantage: -2.3414723671066895e-07, Max Prob: 0.43497514724731445, Max Log Prob: -0.8324663639068604
Episode: 424, Loss: -0.0015904235187917948, Reward: -20.0, Advantage: -6.053573997633066e-08, Max Prob: 0.4148164689540863, Max Log Prob: -0.8799191117286682
Episode: 428, Loss: -0.006689219735562801, Reward: -20.5, Advantage: -6.483830361503351e-08, Max Prob: 0.4213052988052368, Max Log Prob: -0.8643975257873535
Episode: 432, Loss: -0.004458589944988489, Reward: -20.75, Advantage: -2.52717029525229e-07, Max Prob: 0.43078914284706116, Max Log Prob: -0.8421365022659302
Episode: 436, Loss: -0.011253486387431622, Reward: -19.75, Advantage: -6.683303865884227e-08, Max Prob: 0.47050297260284424, Max Log Prob: -0.7539529800415039
Episode: 440, Loss: -0.0030397141817957163, Reward: -20.5, Advantage: -1.876764343933246e-07, Max Prob: 0.45752474665641785, Max Log Prob: -0.781924307346344
Episode: 444, Loss: -0.004540020599961281, Reward: -20.5, Advantage: 3.6392659552575424e-08, Max Prob: 0.4772276282310486, Max Log Prob: -0.7397617101669312
Episode: 448, Loss: -0.0009438698180019855, Reward: -20.5, Advantage: 2.998077874849514e-08, Max Prob: 0.49738287925720215, Max Log Prob: -0.6983951926231384
Episode: 452, Loss: -0.0015115486457943916, Reward: -19.75, Advantage: -3.228081268957794e-08, Max Prob: 0.48271989822387695, Max Log Prob: -0.7283186912536621
Episode: 456, Loss: -0.0016339801950380206, Reward: -19.75, Advantage: -3.798977488145283e-08, Max Prob: 0.46817833185195923, Max Log Prob: -0.7589060068130493
Episode: 460, Loss: -0.0023008629214018583, Reward: -20.0, Advantage: 2.0612111129025834e-08, Max Prob: 0.5564322471618652, Max Log Prob: -0.5862098932266235
Episode: 464, Loss: -0.008201399818062782, Reward: -20.5, Advantage: 1.6109848388623504e-07, Max Prob: 0.4808138310909271, Max Log Prob: -0.732275128364563
Episode: 468, Loss: 0.003931625280529261, Reward: -20.5, Advantage: -1.071110844463874e-07, Max Prob: 0.5477224588394165, Max Log Prob: -0.6019865870475769
Episode: 472, Loss: -0.005974786356091499, Reward: -20.25, Advantage: -1.3197622195093572e-07, Max Prob: 0.5191102027893066, Max Log Prob: -0.6556390523910522
Episode: 476, Loss: -0.004150765016674995, Reward: -20.5, Advantage: -8.131421225243685e-08, Max Prob: 0.5262134671211243, Max Log Prob: -0.6420482993125916
Episode: 480, Loss: -0.005039384122937918, Reward: -20.75, Advantage: -2.789174402550998e-07, Max Prob: 0.5280538201332092, Max Log Prob: -0.6385570764541626
Episode: 484, Loss: -0.0036176105495542288, Reward: -20.5, Advantage: -6.016169606937183e-08, Max Prob: 0.529543399810791, Max Log Prob: -0.6357401609420776
Episode: 488, Loss: 0.0036319326609373093, Reward: -20.75, Advantage: -1.7378287964220362e-07, Max Prob: 0.5630550980567932, Max Log Prob: -0.5743777751922607
Episode: 492, Loss: -0.007878604345023632, Reward: -20.25, Advantage: -2.3245644342750893e-07, Max Prob: 0.586378276348114, Max Log Prob: -0.5337901711463928
Episode: 496, Loss: -0.00021125745843164623, Reward: -20.5, Advantage: -1.9586695998441428e-07, Max Prob: 0.6168802380561829, Max Log Prob: -0.4830803871154785
Episode: 500, Loss: -0.003950942307710648, Reward: -20.0, Advantage: 3.016775806941041e-08, Max Prob: 0.6069910526275635, Max Log Prob: -0.4992412328720093
Episode: 504, Loss: -0.018418729305267334, Reward: -20.25, Advantage: 1.9122518679637324e-08, Max Prob: 0.6426871418952942, Max Log Prob: -0.4420972466468811
Episode: 508, Loss: -0.006597365252673626, Reward: -21.0, Advantage: -1.706684038538242e-08, Max Prob: 0.6147658824920654, Max Log Prob: -0.48651376366615295
Episode: 512, Loss: -0.01194142084568739, Reward: -19.5, Advantage: -1.2607343080617284e-07, Max Prob: 0.6046918034553528, Max Log Prob: -0.503036379814148
Episode: 516, Loss: -0.007423347793519497, Reward: -20.25, Advantage: -1.0500300184901334e-08, Max Prob: 0.6504969000816345, Max Log Prob: -0.43001875281333923
Episode: 520, Loss: -0.010221390053629875, Reward: -20.25, Advantage: -5.828750815339845e-08, Max Prob: 0.6932234764099121, Max Log Prob: -0.36640286445617676
Episode: 524, Loss: 0.0013455530861392617, Reward: -20.25, Advantage: 1.783617875616983e-08, Max Prob: 0.681830883026123, Max Log Prob: -0.3829736113548279
Episode: 528, Loss: 0.003145811380818486, Reward: -20.75, Advantage: -3.210192005553836e-07, Max Prob: 0.699986457824707, Max Log Prob: -0.3566942811012268
Episode: 532, Loss: 0.0018924514297395945, Reward: -20.25, Advantage: -7.505533972107514e-08, Max Prob: 0.7694016098976135, Max Log Prob: -0.26214221119880676
Episode: 536, Loss: 0.00208478351123631, Reward: -19.75, Advantage: 3.667034675913783e-08, Max Prob: 0.6998697519302368, Max Log Prob: -0.35686102509498596
Episode: 540, Loss: -0.00581068592146039, Reward: -19.0, Advantage: -6.49264890739687e-08, Max Prob: 0.7539274096488953, Max Log Prob: -0.28245919942855835
Episode: 544, Loss: 0.0019492299761623144, Reward: -20.25, Advantage: 2.121959852274813e-08, Max Prob: 0.7037772536277771, Max Log Prob: -0.3512933850288391
Episode: 548, Loss: 0.004241533111780882, Reward: -19.75, Advantage: 9.27150800578147e-09, Max Prob: 0.7109068036079407, Max Log Prob: -0.3412139415740967
Episode: 552, Loss: 0.0062537528574466705, Reward: -20.75, Advantage: -8.001029527804349e-08, Max Prob: 0.682732880115509, Max Log Prob: -0.3816515803337097
Episode: 556, Loss: -2.5505927624180913e-05, Reward: -19.75, Advantage: 1.2594864706727549e-08, Max Prob: 0.7268405556678772, Max Log Prob: -0.319048136472702
Episode: 560, Loss: -0.002062280662357807, Reward: -21.0, Advantage: 3.3363292573085346e-07, Max Prob: 0.6683186888694763, Max Log Prob: -0.4029901325702667
Episode: 564, Loss: 0.001104489783756435, Reward: -19.75, Advantage: 1.0036197295448801e-07, Max Prob: 0.646822452545166, Max Log Prob: -0.4356834292411804
Episode: 568, Loss: -0.003560116980224848, Reward: -20.75, Advantage: -2.568867785157636e-07, Max Prob: 0.7154707312583923, Max Log Prob: -0.33481457829475403
Episode: 572, Loss: -0.011500111781060696, Reward: -20.0, Advantage: -1.1149415968247922e-07, Max Prob: 0.5968520641326904, Max Log Prob: -0.5160859823226929
Episode: 576, Loss: 0.0002141222357749939, Reward: -19.75, Advantage: -1.0723076826479883e-07, Max Prob: 0.6193082928657532, Max Log Prob: -0.4791520833969116
Episode: 580, Loss: -4.953716052114032e-05, Reward: -19.5, Advantage: 5.165923155914243e-08, Max Prob: 0.5674666166305542, Max Log Prob: -0.5665733814239502
Episode: 584, Loss: -0.006070547737181187, Reward: -19.75, Advantage: -4.485213978000502e-08, Max Prob: 0.5528305172920227, Max Log Prob: -0.5927038192749023
Episode: 588, Loss: -0.012433487921953201, Reward: -19.5, Advantage: 2.5852617824284607e-08, Max Prob: 0.5832580924034119, Max Log Prob: -0.5391255021095276
