Using device: cuda
Epoch: 88 | Loss: -0.50885 | Reward: -20.344 | Advantage: -0.7341 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 36.432 | Total Time (m): 52.968
Epoch: 89 | Loss: -0.40461 | Reward: -17.719 | Advantage: -0.58373 | Prob: 0.49951 | LogProg: -0.69314 | Time (s): 43.871 | Total Time (m): 53.699
Epoch: 90 | Loss: -0.48841 | Reward: -19.688 | Advantage: -0.70463 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 36.601 | Total Time (m): 54.309
Epoch: 91 | Loss: -0.49231 | Reward: -21 | Advantage: -0.71022 | Prob: 0.49951 | LogProg: -0.69318 | Time (s): 43.39 | Total Time (m): 55.032
Epoch: 92 | Loss: -0.50332 | Reward: -21 | Advantage: -0.72615 | Prob: 0.49951 | LogProg: -0.69314 | Time (s): 40.954 | Total Time (m): 55.715
Epoch: 93 | Loss: -0.50763 | Reward: -20.344 | Advantage: -0.73264 | Prob: 0.49927 | LogProg: -0.69288 | Time (s): 36.793 | Total Time (m): 56.328
Epoch: 94 | Loss: -0.53615 | Reward: -20.344 | Advantage: -0.77379 | Prob: 0.49927 | LogProg: -0.69289 | Time (s): 32.757 | Total Time (m): 56.874
Epoch: 95 | Loss: -0.44974 | Reward: -18.375 | Advantage: -0.64882 | Prob: 0.49951 | LogProg: -0.69318 | Time (s): 36.899 | Total Time (m): 57.489
Epoch: 96 | Loss: -0.47761 | Reward: -19.688 | Advantage: -0.68902 | Prob: 0.49951 | LogProg: -0.69316 | Time (s): 38.271 | Total Time (m): 58.127
Epoch: 97 | Loss: -0.44939 | Reward: -19.031 | Advantage: -0.64834 | Prob: 0.49951 | LogProg: -0.69314 | Time (s): 40.734 | Total Time (m): 58.806
Epoch: 98 | Loss: -0.521 | Reward: -20.344 | Advantage: -0.75161 | Prob: 0.49951 | LogProg: -0.69318 | Time (s): 35.356 | Total Time (m): 59.395
Epoch: 99 | Loss: -0.45975 | Reward: -19.031 | Advantage: -0.66353 | Prob: 0.49927 | LogProg: -0.69289 | Time (s): 38.593 | Total Time (m): 60.038
Epoch: 100 | Loss: -0.53094 | Reward: -20.344 | Advantage: -0.76625 | Prob: 0.49927 | LogProg: -0.69291 | Time (s): 32.71 | Total Time (m): 60.583
Epoch: 101 | Loss: -0.46223 | Reward: -19.688 | Advantage: -0.6671 | Prob: 0.49927 | LogProg: -0.6929 | Time (s): 41.285 | Total Time (m): 61.271
Epoch: 102 | Loss: -0.48163 | Reward: -20.344 | Advantage: -0.6951 | Prob: 0.49927 | LogProg: -0.6929 | Time (s): 41.901 | Total Time (m): 61.97
Epoch: 103 | Loss: -0.50155 | Reward: -20.344 | Advantage: -0.7236 | Prob: 0.49951 | LogProg: -0.69314 | Time (s): 38.307 | Total Time (m): 62.608
Epoch: 104 | Loss: -0.38151 | Reward: -17.062 | Advantage: -0.55041 | Prob: 0.49951 | LogProg: -0.69313 | Time (s): 41.278 | Total Time (m): 63.296
Epoch: 105 | Loss: -0.52816 | Reward: -21 | Advantage: -0.76195 | Prob: 0.49951 | LogProg: -0.69316 | Time (s): 34.521 | Total Time (m): 63.872
Epoch: 106 | Loss: -0.54455 | Reward: -21 | Advantage: -0.7856 | Prob: 0.49951 | LogProg: -0.69316 | Time (s): 34.122 | Total Time (m): 64.44
Epoch: 107 | Loss: -0.47962 | Reward: -19.688 | Advantage: -0.69194 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 36.518 | Total Time (m): 65.049
Epoch: 108 | Loss: -0.45552 | Reward: -19.031 | Advantage: -0.65717 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 38.571 | Total Time (m): 65.692
Epoch: 109 | Loss: -0.53208 | Reward: -21 | Advantage: -0.76763 | Prob: 0.49951 | LogProg: -0.69314 | Time (s): 36.533 | Total Time (m): 66.301
Epoch: 110 | Loss: -0.46039 | Reward: -19.031 | Advantage: -0.6642 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 37.992 | Total Time (m): 66.934
Epoch: 111 | Loss: -0.46602 | Reward: -19.688 | Advantage: -0.67229 | Prob: 0.49951 | LogProg: -0.69319 | Time (s): 40.654 | Total Time (m): 67.611
Epoch: 112 | Loss: -0.45913 | Reward: -19.031 | Advantage: -0.66239 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 39.143 | Total Time (m): 68.264
Epoch: 113 | Loss: -0.49084 | Reward: -20.344 | Advantage: -0.70839 | Prob: 0.49927 | LogProg: -0.69289 | Time (s): 36.828 | Total Time (m): 68.878
Epoch: 114 | Loss: -0.55876 | Reward: -21 | Advantage: -0.80639 | Prob: 0.49927 | LogProg: -0.69292 | Time (s): 32.373 | Total Time (m): 69.417
Epoch: 115 | Loss: -0.47592 | Reward: -19.688 | Advantage: -0.68688 | Prob: 0.49927 | LogProg: -0.69287 | Time (s): 40.31 | Total Time (m): 70.089
Epoch: 116 | Loss: -0.52397 | Reward: -20.344 | Advantage: -0.75624 | Prob: 0.49927 | LogProg: -0.69286 | Time (s): 34.847 | Total Time (m): 70.67
Epoch: 117 | Loss: -0.52586 | Reward: -21 | Advantage: -0.75891 | Prob: 0.49927 | LogProg: -0.69292 | Time (s): 37.223 | Total Time (m): 71.29
Epoch: 118 | Loss: -0.50441 | Reward: -20.344 | Advantage: -0.72796 | Prob: 0.49927 | LogProg: -0.6929 | Time (s): 38.358 | Total Time (m): 71.929
Epoch: 119 | Loss: -0.41036 | Reward: -18.375 | Advantage: -0.59223 | Prob: 0.49927 | LogProg: -0.6929 | Time (s): 41.764 | Total Time (m): 72.626
Epoch: 120 | Loss: -0.48815 | Reward: -19.688 | Advantage: -0.70451 | Prob: 0.49927 | LogProg: -0.69289 | Time (s): 36.967 | Total Time (m): 73.242
Epoch: 121 | Loss: -0.44388 | Reward: -18.375 | Advantage: -0.64059 | Prob: 0.49927 | LogProg: -0.69291 | Time (s): 35.583 | Total Time (m): 73.835
Epoch: 122 | Loss: -0.46624 | Reward: -19.688 | Advantage: -0.67266 | Prob: 0.49902 | LogProg: -0.69312 | Time (s): 14.187 | Total Time (m): 74.071
Epoch: 123 | Loss: -0.43504 | Reward: -19.688 | Advantage: -0.6276 | Prob: 0.49902 | LogProg: -0.69318 | Time (s): 33.485 | Total Time (m): 74.629
Epoch: 124 | Loss: -0.43215 | Reward: -19.031 | Advantage: -0.62349 | Prob: 0.49902 | LogProg: -0.69311 | Time (s): 9.0149 | Total Time (m): 74.779
Epoch: 125 | Loss: -0.54302 | Reward: -21 | Advantage: -0.78343 | Prob: 0.49902 | LogProg: -0.69313 | Time (s): 30.095 | Total Time (m): 75.281
Epoch: 126 | Loss: -0.44582 | Reward: -19.031 | Advantage: -0.64345 | Prob: 0.49927 | LogProg: -0.69286 | Time (s): 41.333 | Total Time (m): 75.97
Epoch: 127 | Loss: -0.54429 | Reward: -21 | Advantage: -0.78555 | Prob: 0.49927 | LogProg: -0.69289 | Time (s): 34.361 | Total Time (m): 76.543
Epoch: 128 | Loss: -0.51666 | Reward: -20.344 | Advantage: -0.74564 | Prob: 0.49927 | LogProg: -0.69291 | Time (s): 36.342 | Total Time (m): 77.148
Epoch: 129 | Loss: -0.49365 | Reward: -20.344 | Advantage: -0.71249 | Prob: 0.49927 | LogProg: -0.69285 | Time (s): 41.709 | Total Time (m): 77.843
Epoch: 130 | Loss: -0.54042 | Reward: -21 | Advantage: -0.77997 | Prob: 0.49927 | LogProg: -0.69288 | Time (s): 36.685 | Total Time (m): 78.455
Epoch: 131 | Loss: -0.56381 | Reward: -21 | Advantage: -0.8134 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 30.835 | Total Time (m): 78.969
Epoch: 132 | Loss: -0.54299 | Reward: -21 | Advantage: -0.78343 | Prob: 0.49951 | LogProg: -0.6931 | Time (s): 35.588 | Total Time (m): 79.562
