Using device: cuda
Epoch: 213 | Loss: 3.3222e-08 | Reward: -0.018 | Time (s): 21.715 | Total Time (m): 73.008
Epoch: 214 | Loss: 7.7965e-08 | Reward: -0.0205 | Time (s): 21.919 | Total Time (m): 73.373
Epoch: 215 | Loss: 7.8583e-09 | Reward: -0.019 | Time (s): 22.026 | Total Time (m): 73.74
Epoch: 216 | Loss: 1.7798e-07 | Reward: -0.019 | Time (s): 21.721 | Total Time (m): 74.102
Epoch: 217 | Loss: 1.2595e-07 | Reward: -0.0235 | Time (s): 21.75 | Total Time (m): 74.465
Epoch: 218 | Loss: 9.8206e-08 | Reward: -0.021 | Time (s): 21.817 | Total Time (m): 74.828
Epoch: 219 | Loss: -3.3371e-08 | Reward: -0.0185 | Time (s): 22.088 | Total Time (m): 75.197
Epoch: 220 | Loss: 5.4749e-08 | Reward: -0.0175 | Time (s): 21.641 | Total Time (m): 75.557
Epoch: 221 | Loss: 4.5105e-08 | Reward: -0.022 | Time (s): 21.583 | Total Time (m): 75.917
Epoch: 222 | Loss: 2.3936e-07 | Reward: -0.019 | Time (s): 21.974 | Total Time (m): 76.283
Epoch: 223 | Loss: 4.5395e-10 | Reward: -0.015 | Time (s): 21.343 | Total Time (m): 76.639
Epoch: 224 | Loss: 1.2563e-07 | Reward: -0.018 | Time (s): 21.989 | Total Time (m): 77.005
Epoch: 225 | Loss: -5.8716e-08 | Reward: -0.022 | Time (s): 21.262 | Total Time (m): 77.36
Epoch: 226 | Loss: 7.5272e-08 | Reward: -0.019 | Time (s): 21.824 | Total Time (m): 77.724
Epoch: 227 | Loss: 2.0571e-07 | Reward: -0.0195 | Time (s): 21.917 | Total Time (m): 78.089
Epoch: 228 | Loss: 1.1668e-07 | Reward: -0.0115 | Time (s): 21.793 | Total Time (m): 78.452
Epoch: 229 | Loss: 3.0247e-07 | Reward: -0.0185 | Time (s): 21.473 | Total Time (m): 78.81
Epoch: 230 | Loss: 2.6176e-07 | Reward: -0.0145 | Time (s): 21.37 | Total Time (m): 79.166
Epoch: 231 | Loss: 1.1375e-07 | Reward: -0.0205 | Time (s): 21.71 | Total Time (m): 79.528
Epoch: 232 | Loss: -2.8175e-08 | Reward: -0.02 | Time (s): 21.844 | Total Time (m): 79.892
Epoch: 233 | Loss: -6.3248e-09 | Reward: -0.022 | Time (s): 21.589 | Total Time (m): 80.252
Epoch: 234 | Loss: 5.2241e-07 | Reward: -0.021 | Time (s): 22.026 | Total Time (m): 80.619
Epoch: 235 | Loss: 2.7706e-07 | Reward: -0.02 | Time (s): 21.51 | Total Time (m): 80.977
Epoch: 236 | Loss: -2.1896e-09 | Reward: -0.016 | Time (s): 22.033 | Total Time (m): 81.345
Epoch: 237 | Loss: 9.7153e-08 | Reward: -0.021 | Time (s): 21.715 | Total Time (m): 81.707
Epoch: 238 | Loss: 1.6458e-07 | Reward: -0.0205 | Time (s): 22.024 | Total Time (m): 82.074
Epoch: 239 | Loss: 2.7924e-09 | Reward: -0.02 | Time (s): 22.356 | Total Time (m): 82.446
Epoch: 240 | Loss: -1.8425e-08 | Reward: -0.0155 | Time (s): 22.667 | Total Time (m): 82.824
Epoch: 241 | Loss: 2.9827e-08 | Reward: -0.0185 | Time (s): 22.422 | Total Time (m): 83.198
Epoch: 242 | Loss: 2.1899e-07 | Reward: -0.02 | Time (s): 22.302 | Total Time (m): 83.569
Epoch: 243 | Loss: 1.1861e-07 | Reward: -0.019 | Time (s): 22.695 | Total Time (m): 83.948
Epoch: 244 | Loss: 2.0048e-07 | Reward: -0.0195 | Time (s): 22.7 | Total Time (m): 84.326
Epoch: 245 | Loss: -4.3823e-08 | Reward: -0.0205 | Time (s): 22.703 | Total Time (m): 84.704
Epoch: 246 | Loss: 4.8691e-08 | Reward: -0.0205 | Time (s): 22.229 | Total Time (m): 85.075
