Using device: cuda
Epoch: 117 | Loss: -0.20449 | Reward: -20.344 | Advantage: -0.67926 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0045777 | Time (s): 23.085 | Total Time (m): 38.779
Epoch: 118 | Loss: -0.21503 | Reward: -19.688 | Advantage: -0.71442 | Prob: 0.50586 | LogProb: -0.29597 | GradNorm: 0.0037323 | Time (s): 18.192 | Total Time (m): 39.083
Epoch: 119 | Loss: -0.20854 | Reward: -19.688 | Advantage: -0.69273 | Prob: 0.50586 | LogProb: -0.29597 | GradNorm: 0.0042551 | Time (s): 16.588 | Total Time (m): 39.359
Epoch: 120 | Loss: -0.19578 | Reward: -19.688 | Advantage: -0.65024 | Prob: 0.50586 | LogProb: -0.29597 | GradNorm: 0.005448 | Time (s): 18.599 | Total Time (m): 39.669
Epoch: 121 | Loss: -0.24914 | Reward: -21 | Advantage: -0.82764 | Prob: 0.50586 | LogProb: -0.29597 | GradNorm: 0.0015731 | Time (s): 16.166 | Total Time (m): 39.938
Epoch: 122 | Loss: -0.22061 | Reward: -20.344 | Advantage: -0.73272 | Prob: 0.50586 | LogProb: -0.29597 | GradNorm: 0.0079361 | Time (s): 19.217 | Total Time (m): 40.259
Epoch: 123 | Loss: -0.1981 | Reward: -19.688 | Advantage: -0.65801 | Prob: 0.50635 | LogProb: -0.29555 | GradNorm: 0.0040361 | Time (s): 20.173 | Total Time (m): 40.595
Epoch: 124 | Loss: -0.21628 | Reward: -20.344 | Advantage: -0.71848 | Prob: 0.50635 | LogProb: -0.29555 | GradNorm: 0.0030102 | Time (s): 21.45 | Total Time (m): 40.952
Epoch: 125 | Loss: -0.21384 | Reward: -19.688 | Advantage: -0.71056 | Prob: 0.50635 | LogProb: -0.29555 | GradNorm: 0.0040254 | Time (s): 18.371 | Total Time (m): 41.259
Epoch: 126 | Loss: -0.24193 | Reward: -21 | Advantage: -0.80371 | Prob: 0.50684 | LogProb: -0.29513 | GradNorm: 0.0019453 | Time (s): 17.108 | Total Time (m): 41.544
Epoch: 127 | Loss: -0.18991 | Reward: -18.375 | Advantage: -0.63136 | Prob: 0.50684 | LogProb: -0.29513 | GradNorm: 0.017385 | Time (s): 21.148 | Total Time (m): 41.896
Epoch: 128 | Loss: -0.2219 | Reward: -20.344 | Advantage: -0.73698 | Prob: 0.50684 | LogProb: -0.29513 | GradNorm: 0.0068035 | Time (s): 19.151 | Total Time (m): 42.215
Epoch: 129 | Loss: -0.21059 | Reward: -19.688 | Advantage: -0.69953 | Prob: 0.50684 | LogProb: -0.29513 | GradNorm: 0.0031756 | Time (s): 20.209 | Total Time (m): 42.552
Epoch: 130 | Loss: -0.20126 | Reward: -19.031 | Advantage: -0.66865 | Prob: 0.50684 | LogProb: -0.29513 | GradNorm: 0.0013848 | Time (s): 20.014 | Total Time (m): 42.886
Epoch: 131 | Loss: -0.21569 | Reward: -19.688 | Advantage: -0.71699 | Prob: 0.50684 | LogProb: -0.29513 | GradNorm: 0.016754 | Time (s): 18.82 | Total Time (m): 43.199
Epoch: 132 | Loss: -0.21755 | Reward: -20.344 | Advantage: -0.72263 | Prob: 0.50684 | LogProb: -0.29513 | GradNorm: 0.0041859 | Time (s): 20.066 | Total Time (m): 43.534
Epoch: 133 | Loss: -0.214 | Reward: -19.688 | Advantage: -0.71099 | Prob: 0.50635 | LogProb: -0.29555 | GradNorm: 0.0024917 | Time (s): 19.427 | Total Time (m): 43.858
Epoch: 134 | Loss: -0.22206 | Reward: -20.344 | Advantage: -0.73738 | Prob: 0.50635 | LogProb: -0.29555 | GradNorm: 0.0132 | Time (s): 19.408 | Total Time (m): 44.181
Epoch: 135 | Loss: -0.18757 | Reward: -19.031 | Advantage: -0.62321 | Prob: 0.50684 | LogProb: -0.29555 | GradNorm: 0.0030881 | Time (s): 22.288 | Total Time (m): 44.553
Epoch: 136 | Loss: -0.22616 | Reward: -20.344 | Advantage: -0.75122 | Prob: 0.50684 | LogProb: -0.29513 | GradNorm: 0.0041174 | Time (s): 18.6 | Total Time (m): 44.863
