Using device: cuda
Episode: 1264, Reward: -15.875, Advantage: 2.1623191893222945e-16, Logits: 0.486328125, BCE: -0.69287109375, Loss: 0.00014334, Time: 26.50s, Total Time: 34.61m
Episode: 1280, Reward: -17.0, Advantage: -2.5934409323825527e-16, Logits: 0.486328125, BCE: -0.693359375, Loss: 0.00007650, Time: 33.20s, Total Time: 35.16m
Episode: 1296, Reward: -16.5625, Advantage: -2.5006965214857894e-16, Logits: 0.486572265625, BCE: -0.69287109375, Loss: -0.00008566, Time: 30.80s, Total Time: 35.68m
Episode: 1312, Reward: -16.875, Advantage: 1.4015937731693155e-16, Logits: 0.486572265625, BCE: -0.69287109375, Loss: 0.00001646, Time: 32.43s, Total Time: 36.22m
Episode: 1328, Reward: -15.8125, Advantage: -2.7701681294045166e-16, Logits: 0.486572265625, BCE: -0.693359375, Loss: -0.00012558, Time: 30.07s, Total Time: 36.72m
Episode: 1344, Reward: -14.9375, Advantage: 2.0460654694662573e-16, Logits: 0.48681640625, BCE: -0.693359375, Loss: 0.00008042, Time: 28.47s, Total Time: 37.19m
Episode: 1360, Reward: -14.625, Advantage: 3.429484735753101e-17, Logits: 0.48681640625, BCE: -0.693359375, Loss: 0.00002631, Time: 27.81s, Total Time: 37.66m
Episode: 1376, Reward: -15.625, Advantage: -1.4982621400281237e-16, Logits: 0.48681640625, BCE: -0.69287109375, Loss: 0.00007566, Time: 30.42s, Total Time: 38.16m
Episode: 1392, Reward: -17.5, Advantage: 2.1147105230955364e-16, Logits: 0.487060546875, BCE: -0.693359375, Loss: 0.00001667, Time: 35.42s, Total Time: 38.75m
Episode: 1408, Reward: -15.125, Advantage: -2.84562017962176e-16, Logits: 0.487060546875, BCE: -0.693359375, Loss: -0.00001367, Time: 27.74s, Total Time: 39.22m
Episode: 1424, Reward: -16.125, Advantage: -1.8216280695305966e-16, Logits: 0.487060546875, BCE: -0.693359375, Loss: 0.00004547, Time: 24.19s, Total Time: 39.62m
Episode: 1440, Reward: -16.9375, Advantage: -8.407514167064291e-17, Logits: 0.4873046875, BCE: -0.693359375, Loss: 0.00010380, Time: 24.61s, Total Time: 40.03m
Episode: 1456, Reward: -16.625, Advantage: 3.2144153540194324e-16, Logits: 0.4873046875, BCE: -0.693359375, Loss: 0.00006005, Time: 22.56s, Total Time: 40.41m
Episode: 1472, Reward: -17.125, Advantage: -9.916555171409165e-17, Logits: 0.487548828125, BCE: -0.693359375, Loss: -0.00004230, Time: 24.83s, Total Time: 40.82m
Episode: 1488, Reward: -16.25, Advantage: -2.9965242800562474e-16, Logits: 0.487548828125, BCE: -0.693359375, Loss: -0.00009612, Time: 24.78s, Total Time: 41.23m
Episode: 1504, Reward: -16.375, Advantage: -1.2072328034758983e-16, Logits: 0.487548828125, BCE: -0.693359375, Loss: 0.00001728, Time: 25.01s, Total Time: 41.65m
Episode: 1520, Reward: -16.625, Advantage: -7.329627735389382e-17, Logits: 0.48779296875, BCE: -0.693359375, Loss: -0.00002548, Time: 25.56s, Total Time: 42.08m
Episode: 1536, Reward: -16.0, Advantage: -1.8108492052138475e-16, Logits: 0.48779296875, BCE: -0.693359375, Loss: -0.00000922, Time: 25.81s, Total Time: 42.51m
Episode: 1552, Reward: -14.25, Advantage: 6.161447152369979e-17, Logits: 0.488037109375, BCE: -0.693359375, Loss: -0.00000067, Time: 23.74s, Total Time: 42.90m
Episode: 1568, Reward: -15.5625, Advantage: 1.0404707927115342e-16, Logits: 0.488037109375, BCE: -0.693359375, Loss: -0.00007618, Time: 22.83s, Total Time: 43.28m
Episode: 1584, Reward: -16.25, Advantage: -9.85070610940139e-17, Logits: 0.488037109375, BCE: -0.693359375, Loss: 0.00000754, Time: 25.21s, Total Time: 43.70m
Episode: 1600, Reward: -15.1875, Advantage: 1.1392864545891658e-16, Logits: 0.48828125, BCE: -0.693359375, Loss: -0.00008670, Time: 25.30s, Total Time: 44.12m
Episode: 1616, Reward: -15.4375, Advantage: -5.173854872039564e-17, Logits: 0.48828125, BCE: -0.693359375, Loss: 0.00000084, Time: 31.92s, Total Time: 44.66m
Episode: 1632, Reward: -14.625, Advantage: -2.0695419488158256e-16, Logits: 0.48828125, BCE: -0.693359375, Loss: 0.00004971, Time: 30.98s, Total Time: 45.17m
Episode: 1648, Reward: -16.75, Advantage: -1.746176019313353e-16, Logits: 0.488525390625, BCE: -0.693359375, Loss: 0.00008136, Time: 31.17s, Total Time: 45.69m
Episode: 1664, Reward: -15.8125, Advantage: -2.72705267213752e-16, Logits: 0.488525390625, BCE: -0.693359375, Loss: -0.00005606, Time: 31.61s, Total Time: 46.22m
Episode: 1680, Reward: -15.0, Advantage: -6.736790197968182e-17, Logits: 0.488525390625, BCE: -0.693359375, Loss: 0.00007445, Time: 31.26s, Total Time: 46.74m
Episode: 1696, Reward: -16.8125, Advantage: 7.545205021724365e-18, Logits: 0.48876953125, BCE: -0.693359375, Loss: 0.00008018, Time: 31.41s, Total Time: 47.26m
Episode: 1712, Reward: -16.1875, Advantage: 1.245861131706058e-16, Logits: 0.48876953125, BCE: -0.693359375, Loss: 0.00005921, Time: 34.13s, Total Time: 47.83m
Episode: 1728, Reward: -16.4375, Advantage: 1.9646878655670312e-16, Logits: 0.48876953125, BCE: -0.693359375, Loss: -0.00001237, Time: 29.43s, Total Time: 48.32m
Episode: 1744, Reward: -15.625, Advantage: -2.586927436019782e-16, Logits: 0.489013671875, BCE: -0.693359375, Loss: -0.00005566, Time: 31.10s, Total Time: 48.84m
Episode: 1760, Reward: -15.9375, Advantage: -2.1988883206168147e-16, Logits: 0.489013671875, BCE: -0.693359375, Loss: -0.00000797, Time: 26.36s, Total Time: 49.28m
Episode: 1776, Reward: -15.75, Advantage: -2.1665517276665674e-16, Logits: 0.489013671875, BCE: -0.693359375, Loss: -0.00008421, Time: 25.80s, Total Time: 49.71m
Episode: 1792, Reward: -15.1875, Advantage: 7.556491790642427e-17, Logits: 0.489013671875, BCE: -0.693359375, Loss: -0.00006778, Time: 26.33s, Total Time: 50.15m
Episode: 1808, Reward: -15.875, Advantage: -2.4144656069517967e-16, Logits: 0.4892578125, BCE: -0.693359375, Loss: 0.00002787, Time: 31.35s, Total Time: 50.67m
Episode: 1824, Reward: -15.8125, Advantage: 3.6559402263685544e-16, Logits: 0.4892578125, BCE: -0.693359375, Loss: 0.00000762, Time: 29.65s, Total Time: 51.17m
Episode: 1840, Reward: -15.5, Advantage: 2.487829604919199e-16, Logits: 0.4892578125, BCE: -0.693359375, Loss: -0.00006313, Time: 22.82s, Total Time: 51.55m
Episode: 1856, Reward: -16.125, Advantage: 1.395044638272448e-16, Logits: 0.4892578125, BCE: -0.693359375, Loss: -0.00001403, Time: 23.40s, Total Time: 51.94m
Episode: 1872, Reward: -16.5, Advantage: -2.5863434794879493e-16, Logits: 0.489501953125, BCE: -0.693359375, Loss: -0.00009017, Time: 27.44s, Total Time: 52.39m
Episode: 1888, Reward: -16.6875, Advantage: 2.8959999381737416e-16, Logits: 0.489501953125, BCE: -0.693359375, Loss: -0.00013099, Time: 28.37s, Total Time: 52.87m
Episode: 1904, Reward: -15.125, Advantage: 1.4531714982004667e-17, Logits: 0.489501953125, BCE: -0.693359375, Loss: -0.00006764, Time: 29.79s, Total Time: 53.36m
Episode: 1920, Reward: -15.875, Advantage: 1.2439148024595994e-16, Logits: 0.489501953125, BCE: -0.693359375, Loss: 0.00001220, Time: 23.16s, Total Time: 53.75m
Episode: 1936, Reward: -15.5625, Advantage: -1.0671075673581601e-16, Logits: 0.489501953125, BCE: -0.693359375, Loss: 0.00006319, Time: 26.02s, Total Time: 54.18m
Episode: 1952, Reward: -16.6875, Advantage: -1.983311034281833e-16, Logits: 0.489501953125, BCE: -0.69287109375, Loss: 0.00014046, Time: 26.18s, Total Time: 54.62m
Episode: 1968, Reward: -14.375, Advantage: 8.835282709058838e-17, Logits: 0.48974609375, BCE: -0.693359375, Loss: 0.00008015, Time: 23.76s, Total Time: 55.02m
Episode: 1984, Reward: -15.9375, Advantage: 5.1675835328007286e-17, Logits: 0.48974609375, BCE: -0.693359375, Loss: -0.00006725, Time: 26.40s, Total Time: 55.46m
Episode: 2000, Reward: -16.6875, Advantage: -1.3457248783335231e-17, Logits: 0.48974609375, BCE: -0.693359375, Loss: 0.00004028, Time: 26.55s, Total Time: 55.90m
Episode: 2016, Reward: -15.3125, Advantage: 1.6879408881178852e-16, Logits: 0.48974609375, BCE: -0.69287109375, Loss: -0.00004270, Time: 27.69s, Total Time: 56.36m
Episode: 2032, Reward: -16.875, Advantage: 4.311545726699637e-18, Logits: 0.48974609375, BCE: -0.693359375, Loss: -0.00000634, Time: 30.12s, Total Time: 56.86m
Episode: 2048, Reward: -16.3125, Advantage: -2.921072229839004e-16, Logits: 0.48974609375, BCE: -0.69287109375, Loss: -0.00025166, Time: 28.91s, Total Time: 57.34m
Episode: 2064, Reward: -15.9375, Advantage: -3.0487275608498934e-16, Logits: 0.48974609375, BCE: -0.693359375, Loss: 0.00009417, Time: 31.23s, Total Time: 57.86m
Episode: 2080, Reward: -15.8125, Advantage: -1.2126222356342729e-16, Logits: 0.489990234375, BCE: -0.69287109375, Loss: -0.00010533, Time: 28.78s, Total Time: 58.34m
Episode: 2096, Reward: -17.4375, Advantage: -1.6057462955030513e-17, Logits: 0.489990234375, BCE: -0.693359375, Loss: -0.00005274, Time: 31.21s, Total Time: 58.86m
Episode: 2112, Reward: -14.9375, Advantage: 1.9530624935814273e-16, Logits: 0.489990234375, BCE: -0.693359375, Loss: -0.00009287, Time: 27.05s, Total Time: 59.31m
